Day,Cost,Views,Impressions,Clicks
2022-02-06,154456.28,7544262,26018178,9061
2022-02-07,148056.15,7328967,23601153,7228
2022-02-05,152578.37,7299563,26642737,9194
2022-02-04,153990.12,7237592,25417871,9431
2022-02-19,192039.77,7033042,27757339,10491
2022-02-03,146406.57,6960228,21604694,8980
2022-02-20,189414.65,6861086,28356192,10154
2022-02-18,189935.37,6856019,26958299,10618
2022-02-21,173647.46,6834222,25516987,8370
2022-02-02,132610.97,6792006,20279358,8271
2022-02-01,130137.71,6757668,19487630,8343
2022-01-31,151257.74,6719818,21609231,11172
2022-02-12,166928.63999999998,6373103,24973705,7850
2022-03-06,164506.77,6307848,27964642,7797
2022-02-09,143166.9,6291924,21638760,6819
2022-02-23,185343.08,6272528,25068618,10175
2022-02-17,203980.68,6268815,27009793,11733
2022-02-22,167388.0,6255704,23515893,8864
2022-03-05,163920.33,6211664,27793642,7224
2022-02-24,209220.99,6187637,28652400,11690
2022-02-08,135090.27,6159399,21268955,6445
2022-01-29,153578.58,6020850,22067083,10242
2022-02-15,190943.76,6014357,24961805,10211
2022-01-30,142400.18,5882324,21870491,11076
2022-02-14,191149.62,5859576,24632811,9815
2022-02-10,147681.83,5770222,20686803,6368
2022-02-11,158847.84,5741822,21635196,7182
2022-03-15,167868.85,5613421,25906774,9919
2022-02-27,202510.29,5601187,30574551,12342
2022-03-07,166647.81,5600605,25688856,7083
2022-02-28,230674.19,5560261,29996491,10762
2022-03-20,155684.39,5523640,26076364,9011
2022-02-26,208938.91,5496605,30596806,12552
2022-02-16,186574.33,5479457,24651169,10486
2022-03-04,155165.83,5443962,25266878,7129
2022-03-16,167166.08,5419650,26725157,9485
2022-03-08,158033.97,5312244,25101626,7586
2022-03-03,141623.24,5297247,23022063,6932
2022-03-28,159321.85,5268071,22686975,7514
2022-02-25,210242.26,5262817,28854787,12080
2022-01-28,150257.77,5256634,20292113,9409
2022-02-13,159958.22,5232995,22564726,7926
2022-03-17,155589.91,5189266,24302486,9285
2022-03-29,198481.69,5123518,28642897,7444
2022-03-09,162085.69,5105652,26026991,7483
2022-03-10,173383.06,4980991,27953135,7682
2022-03-14,124010.5,4930693,22280335,5944
2022-03-30,212418.48,4876854,32843540,9268
2022-03-23,161562.18,4728460,24426315,6397
2022-01-27,149747.78,4703759,21469508,9519
2022-03-12,148907.95,4685367,23787449,7019
2022-03-21,149513.65,4664793,23616520,8969
2022-03-22,153896.32,4648263,23413186,6759
2022-03-02,129893.04,4644629,19810889,6605
2022-03-13,149925.01,4611366,23746935,7171
2022-03-19,147816.81,4578023,23755006,9199
2022-03-11,153183.58,4511881,23747024,6723
2022-03-26,149601.99,4453928,21496419,6285
2022-03-18,147439.54,4430302,23841342,9013
2022-01-24,121290.67,4390876,19350626,7909
2022-01-26,139517.01,4340306,20616741,8842
2022-01-25,137030.22,4257373,20484301,9497
2022-03-25,155051.21,4245299,21243638,5792
2022-01-23,95630.17,4210437,17272763,7199
2022-01-22,95532.7,4174294,16766755,7111
2022-01-21,92950.87,3964466,14887299,7231
2022-03-27,140347.76,3944646,21216682,7187
2022-01-10,66754.56,3866877,12087918,3758
2022-01-11,68284.16,3858865,11969936,3222
2022-01-15,64466.71,3844583,11139909,2771
2022-01-16,63551.88,3799939,10680521,2890
2022-01-12,64862.29,3727557,10839960,2775
2022-01-14,64553.54,3721642,10689437,2816
2022-03-24,146133.41,3718689,21635677,6141
2022-01-13,64510.81,3710895,10588679,2848
2022-01-17,61846.18,3679901,10350241,2771
2022-01-18,62568.26,3564042,9731662,2794
2022-01-20,80945.91,3522083,11929186,4781
2022-01-09,54609.51,3252960,11218903,3549
2022-01-08,55299.87,3211711,11146580,3623
2022-03-01,76278.11,3207352,9243753,4287
2022-01-19,60916.46,3096889,9196211,2898
2022-01-07,53211.33,2990120,10351925,3398
2022-01-06,50832.82,2873198,9662411,3138
2022-01-04,39684.37,2521624,8448653,2432
2022-01-05,40903.71,2392114,8703809,2305
2022-01-02,29119.14,1687300,7517260,1581
2022-01-03,29808.51,1587605,6892219,1997
2022-01-01,28265.66,1414699,6459381,1569
